,age,合計,大型,中型,普通,大特,けん引,小計,大型.1,中型.1,準中型,普通.1,大特.1,大自二,普自二,小特,原付,けん引.1,小計.1,cumsum,percent
60,７６,764610,18428,21166,4,22,10,39630,61941,631742,3124,1730,13,477,1199,1029,23725,0,724980,4811819,0.05845628800052209
61,７７,725759,17939,20140,2,25,4,38110,58998,596745,3525,1462,21,552,1292,1270,23784,0,687649,4047209,0.04916743853048193
62,７８,584254,14713,15822,2,18,5,30560,46844,480179,3078,1892,14,491,1159,1247,18790,0,553694,3321450,0.04035056966592761
63,７９,472190,12120,15174,1,19,1,27315,36045,385035,2908,1575,18,440,1255,1401,16198,0,444875,2737196,0.0332527714965748
64,８０,425814,11672,15967,1,6,2,27648,31003,343404,3769,1165,15,519,1380,1678,15233,0,398166,2265006,0.027516380615918958
65,８１,397648,13028,16438,0,14,3,29483,25954,318945,4099,1912,11,469,1389,1674,13712,0,368165,1839192,0.022343387654493285
66,８２,329649,12527,14620,1,8,1,27157,19065,263141,4170,1555,12,463,1415,1563,11108,0,302492,1441544,0.017512568787276625
67,８３,297997,13073,13305,3,10,3,26394,15488,236504,4862,1126,8,457,1449,1745,9964,0,271603,1111895,0.013507834427342448
68,８４,199226,9600,8272,0,4,0,17876,9115,159231,3659,1538,6,289,844,1092,5576,0,181350,813898,0.009887623763705354
69,８５,169683,9034,6863,0,4,0,15901,6795,135259,3508,1278,8,295,876,987,4776,0,153782,614672,0.007467330641043837
70,８６,143562,7660,5288,2,3,0,12953,5317,115041,3622,769,7,270,816,895,3872,0,130609,444989,0.005405940069870527
71,８７,91948,4717,3213,0,0,0,7930,2979,74477,2226,755,8,170,576,626,2201,0,84018,301427,0.003661879950832185
72,８８,71998,3581,2300,0,1,0,5882,2015,58655,1859,556,3,172,555,542,1759,0,66116,209479,0.0025448514904782096
73,８９,56245,2696,1775,0,1,0,4472,1518,45779,1586,235,5,142,481,541,1486,0,51773,137481,0.0016701852107487373
74,９０,31961,1372,931,1,1,1,2306,717,26427,842,236,4,85,270,295,779,0,29655,81236,0.0009868939401108839
75,９１,20654,880,543,0,1,0,1424,417,17150,539,151,1,52,190,219,511,0,19230,49275,0.0005986163634221749
76,９２,14013,547,364,0,0,0,911,234,11609,372,112,1,44,171,170,389,0,13102,28621,0.0003477016527144813
77,９３,6063,207,167,0,0,0,374,87,5078,164,68,1,20,58,66,147,0,5689,14608,0.00017746499922620255
78,９４,3907,142,110,0,1,0,253,63,3246,94,34,1,24,37,48,107,0,3654,8545,0.00010380876358077087
79,９５,2566,87,69,0,0,0,156,30,2116,77,14,1,10,43,38,81,0,2410,4638,5.6344651315110035e-05
80,９６,1051,32,31,0,0,0,63,15,845,25,10,1,3,15,23,51,0,988,2072,2.5171651040299267e-05
81,９７,584,20,14,0,0,0,34,6,472,18,7,0,5,13,15,14,0,550,1021,1.2403598316672563e-05
82,９８,308,12,8,0,0,0,20,1,250,9,1,0,3,5,8,11,0,288,437,5.308885861298639e-06
83,９９,129,5,5,0,0,0,10,2,93,5,5,0,0,2,6,6,0,119,129,1.5671539499028017e-06
